index;x;y;z
239;0.548508;0.459274;-0.241501
240;0.562546;0.647873;-0.040222
241;0.627533;0.496078;-0.161423
242;0.880630;0.970520;-0.926544
243;1.232803;2.142761;-0.465988
244;0.251755;1.130447;-0.781311
245;-0.125168;0.119797;-0.293091
246;0.272949;0.126709;-0.147034
247;0.103378;0.143188;0.030472
248;0.428345;0.632919;0.051559
249;1.347565;1.227966;-0.181519
250;1.293808;0.245468;-0.922150
251;0.368896;0.540894;-0.183487
252;0.485855;0.950562;-0.045898
253;1.356720;1.657242;-0.024323
254;1.094818;1.395859;-0.503937
255;-0.006393;0.923096;0.077454
256;0.387390;0.469070;0.383713
257;1.145935;0.195663;-0.203232
258;1.057587;0.674606;-0.416534
259;-0.278076;0.470490;-0.248734
260;0.344452;0.677567;-0.194809
261;1.109024;0.511093;-0.326859
262;1.008102;0.966202;-0.771240
263;1.070923;2.167313;-0.138382
264;0.509232;0.874969;-0.554062
265;0.387192;0.583939;-0.119202
266;0.122421;0.104218;-0.196640
267;0.305191;0.033707;-0.058548
268;0.392075;0.276840;-0.219818
269;0.629913;0.616547;-0.104263
270;1.062637;0.880768;-0.159271
271;0.578430;0.179764;-0.472061
272;0.932999;1.659622;0.952057
273;1.484253;2.205093;0.018005
274;0.347473;0.594315;0.275497
275;0.592163;1.134659;0.184219
276;1.150925;0.452576;-0.475327
277;0.324356;0.597809;-0.188934
278;0.093231;0.594131;-0.192566
279;0.393265;0.529953;0.002014
280;0.435410;0.353745;-0.143875
281;0.724014;0.492844;-0.113586
282;1.228699;0.641449;-0.682190
283;1.531708;2.125809;-0.394714
284;0.555069;1.305679;-0.457230
285;0.248505;0.600433;-0.354355
286;0.405365;0.394272;-0.022247
287;0.128067;0.035202;-0.170853
288;0.327850;0.111771;-0.213699
289;0.380661;0.386932;-0.250595
290;0.987289;0.847000;-0.184174
291;0.863586;0.556717;-0.282669
292;0.654465;0.606888;-0.685226
293;0.590240;0.865280;0.371033
294;0.960083;2.173050;-0.739151
295;1.024231;1.062500;0.030228
296;0.894348;1.030472;-0.235611
297;0.199493;0.740326;0.119217
298;0.142868;0.487045;0.010834
299;0.696838;0.431381;-0.098328
300;0.716415;0.326553;-0.209869
301;0.301300;0.609772;-0.111267
302;0.525253;0.453644;-0.035202
303;0.901550;0.469330;-0.571213
304;0.912613;1.113663;-0.576141
305;1.182281;2.087341;-0.116470
306;0.741959;1.477066;-0.485962
307;0.287781;1.049377;-0.303497
308;0.163666;0.610428;-0.289841
309;0.297791;0.366028;-0.261597
310;0.346939;0.336136;-0.472748
311;0.464050;0.403351;-0.290924
312;0.939178;0.660843;-0.354279
313;0.404968;0.441635;0.108063
314;2.485031;3.104660;-0.996948
315;-1.562988;0.936920;0.783112
316;0.740479;0.925751;0.311020
317;1.123184;1.379379;0.037521
318;0.112778;0.872879;-0.066391
319;0.491470;1.075256;0.047440
320;0.682983;0.890244;0.049347
321;0.602951;0.793777;0.197891
322;0.957108;0.908173;0.220215
323;0.739655;0.879333;0.260010
324;0.868713;0.517166;-0.389114
325;0.978531;0.079254;-0.519287
326;0.783234;0.128204;0.002289
327;1.396805;0.211624;0.105972
328;1.139587;0.410675;0.058167
329;0.819992;0.434006;-0.175995
