index;x;y;z
227;0.825714;-0.252106;-0.490768
228;0.829269;-0.255630;-0.495239
229;0.827942;-0.256302;-0.489578
230;0.827728;-0.255875;-0.491638
231;0.828827;-0.253677;-0.491394
232;0.835007;-0.253555;-0.491302
233;0.825943;-0.250793;-0.491318
234;0.833847;-0.253494;-0.489853
235;0.828369;-0.255692;-0.490891
236;0.829880;-0.257523;-0.492706
237;0.830734;-0.257782;-0.491089
238;0.826248;-0.253143;-0.489609
239;0.833191;-0.251007;-0.492004
240;0.827377;-0.253006;-0.490524
241;0.832825;-0.254181;-0.491882
242;0.827484;-0.256989;-0.492081
243;0.829315;-0.255112;-0.491852
244;0.825882;-0.256973;-0.488571
245;0.831345;-0.250381;-0.494461
246;0.837402;-0.257690;-0.486359
247;0.823593;-0.255066;-0.488876
248;0.829590;-0.258545;-0.491501
249;0.830994;-0.252335;-0.490677
250;0.826401;-0.255844;-0.489609
251;0.831299;-0.252853;-0.489563
252;0.833008;-0.257080;-0.488052
253;0.829803;-0.254761;-0.491013
254;0.826447;-0.259995;-0.489685
255;0.828171;-0.255539;-0.491119
256;0.830795;-0.253632;-0.492828
257;0.827057;-0.253555;-0.491653
258;0.828476;-0.254333;-0.490784
259;0.830063;-0.254105;-0.493027
260;0.834137;-0.260056;-0.489914
261;0.828278;-0.255066;-0.486786
262;0.829208;-0.254883;-0.493744
263;0.828964;-0.254929;-0.490891
264;0.829376;-0.252411;-0.495483
265;0.826233;-0.256058;-0.487411
266;0.830551;-0.255188;-0.490997
267;0.830109;-0.257248;-0.491135
268;0.827530;-0.255768;-0.488724
269;0.830063;-0.253525;-0.492538
270;0.828995;-0.252258;-0.492081
271;0.828598;-0.256729;-0.491211
272;0.835159;-0.254944;-0.489029
273;0.822769;-0.255707;-0.489151
274;0.826096;-0.257278;-0.493011
275;0.829926;-0.251617;-0.490417
276;0.831116;-0.252686;-0.492752
277;0.829025;-0.254135;-0.493301
278;0.827118;-0.255280;-0.491959
279;0.831924;-0.255783;-0.488922
280;0.827530;-0.257019;-0.491287
281;0.828964;-0.257812;-0.491455
282;0.829590;-0.252640;-0.491592
283;0.826981;-0.252808;-0.492401
284;0.829559;-0.251877;-0.493210
285;0.835785;-0.257019;-0.491394
286;0.826904;-0.253265;-0.487549
287;0.826523;-0.258499;-0.492905
288;0.832535;-0.252106;-0.494659
289;0.831024;-0.252609;-0.493225
290;0.828903;-0.250427;-0.490250
291;0.828888;-0.253113;-0.492722
292;0.828217;-0.256317;-0.489258
293;0.834946;-0.258942;-0.490631
294;0.828140;-0.252777;-0.489319
295;0.828827;-0.248795;-0.491547
296;0.830139;-0.257721;-0.490952
297;0.834732;-0.245468;-0.493652
298;0.831909;-0.262833;-0.491364
299;0.815475;-0.255447;-0.489426
300;0.834991;-0.257080;-0.491821
301;0.831757;-0.251923;-0.487198
302;0.832779;-0.252670;-0.494446
303;0.827072;-0.250366;-0.489120
304;0.828812;-0.256287;-0.493851
305;0.827545;-0.257645;-0.490295
306;0.828949;-0.258835;-0.492310
307;0.829300;-0.251572;-0.490631
308;0.830399;-0.253250;-0.493652
309;0.830688;-0.251724;-0.488937
310;0.831100;-0.253281;-0.493271
311;0.825058;-0.254028;-0.490631
312;0.829529;-0.257874;-0.492188
313;0.829346;-0.255066;-0.490799
314;0.830322;-0.252808;-0.495987
315;0.826691;-0.253540;-0.491455
316;0.830658;-0.253799;-0.490189
317;0.836655;-0.254745;-0.491028
318;0.823608;-0.256180;-0.492737
319;0.827744;-0.254013;-0.494843
320;0.829758;-0.254517;-0.492157
321;0.831802;-0.255569;-0.488998
322;0.825775;-0.253311;-0.491089
323;0.833847;-0.253357;-0.494278
324;0.831589;-0.256973;-0.486481
325;0.826599;-0.254959;-0.492584
326;0.824677;-0.257156;-0.490189
327;0.831390;-0.253571;-0.490555
328;0.831650;-0.251770;-0.492172
329;0.827576;-0.255310;-0.492050
330;0.829041;-0.253250;-0.494278
331;0.828079;-0.257217;-0.490280
332;0.828918;-0.255661;-0.492035
333;0.827637;-0.254166;-0.492035
334;0.830551;-0.253555;-0.493607
335;0.829239;-0.251709;-0.491440
336;0.830475;-0.254959;-0.493088
337;0.828812;-0.255020;-0.492355
338;0.827484;-0.257736;-0.492264
339;0.830963;-0.255112;-0.489899
340;0.830887;-0.253830;-0.493958
341;0.826965;-0.252930;-0.492859
342;0.831039;-0.253891;-0.490295
343;0.830811;-0.254608;-0.492889
344;0.827148;-0.254959;-0.489410
345;0.827255;-0.253693;-0.492966
346;0.828720;-0.253357;-0.493881
347;0.829651;-0.255051;-0.492325
348;0.829803;-0.253662;-0.491531
349;0.828720;-0.254410;-0.494064
350;0.826157;-0.256851;-0.492325
351;0.829483;-0.251801;-0.494873
352;0.834854;-0.256073;-0.490280
353;0.821045;-0.252869;-0.492432
354;0.826935;-0.257416;-0.491806
355;0.832428;-0.253647;-0.488876
356;0.829025;-0.252625;-0.492783
357;0.830475;-0.252548;-0.495117
358;0.824142;-0.254745;-0.492065
359;0.833969;-0.254837;-0.491943
360;0.826096;-0.255280;-0.494293
361;0.827881;-0.256073;-0.491852
362;0.829544;-0.254501;-0.492554
363;0.832520;-0.248611;-0.494858
364;0.829224;-0.252792;-0.493683
365;0.827698;-0.256638;-0.491776
366;0.829208;-0.252548;-0.492355
367;0.828964;-0.254440;-0.497147
368;0.829254;-0.254059;-0.490524
369;0.831848;-0.253555;-0.492554
370;0.830978;-0.250778;-0.493668
371;0.823746;-0.253372;-0.492844
372;0.831711;-0.252014;-0.490845
373;0.830704;-0.255798;-0.491272
374;0.826904;-0.253067;-0.490860
375;0.831131;-0.253326;-0.493057
376;0.824692;-0.253799;-0.491776
377;0.835846;-0.247986;-0.496368
378;0.826202;-0.259323;-0.492447
379;0.825226;-0.256790;-0.491211
380;0.828339;-0.254868;-0.490479
381;0.832916;-0.251770;-0.490387
382;0.831787;-0.248901;-0.496002
383;0.825638;-0.252029;-0.490860
384;0.826065;-0.254761;-0.494461
385;0.831757;-0.255875;-0.491440
386;0.826340;-0.257095;-0.490768
387;0.831650;-0.251266;-0.493942
388;0.828629;-0.250412;-0.494370
389;0.829880;-0.254517;-0.493774
390;0.829651;-0.251663;-0.496033
391;0.827774;-0.256500;-0.493744
392;0.841415;-0.236938;-0.489044
393;0.828552;-0.254730;-0.483810
394;0.800613;-0.291260;-0.497314
395;0.846786;-0.238525;-0.497192
396;0.830475;-0.258377;-0.495926
397;0.820267;-0.251114;-0.489639
398;0.817673;-0.254700;-0.495300
399;0.833954;-0.255615;-0.491638
400;0.836624;-0.258469;-0.491806
401;0.823120;-0.261429;-0.489304
402;0.835342;-0.247726;-0.496689
403;0.829346;-0.257782;-0.489532
404;0.822403;-0.258194;-0.491592
405;0.823990;-0.256393;-0.495010
406;0.833298;-0.255112;-0.491898
407;0.825012;-0.255524;-0.495026
408;0.828598;-0.255280;-0.493454
409;0.831146;-0.251831;-0.494522
410;0.823257;-0.259613;-0.489365
411;0.829285;-0.259781;-0.494629
412;0.828369;-0.255844;-0.492233
413;0.829590;-0.257950;-0.490417
414;0.826157;-0.252701;-0.495483
415;0.827759;-0.253967;-0.494751
416;0.828995;-0.257080;-0.493652
417;0.825180;-0.255875;-0.492981
418;0.830429;-0.254745;-0.492508
419;0.831589;-0.257156;-0.489395
420;0.828827;-0.255630;-0.493134
421;0.825577;-0.258118;-0.492569
422;0.828888;-0.252029;-0.494049
423;0.830795;-0.254364;-0.495651
424;0.819534;-0.255005;-0.491928
425;0.829788;-0.258118;-0.493698
426;0.837936;-0.252975;-0.492233
427;0.820923;-0.259674;-0.490204
428;0.826370;-0.255585;-0.492188
429;0.832474;-0.253738;-0.494308
430;0.824402;-0.253159;-0.494690
431;0.827545;-0.257278;-0.495972
432;0.826614;-0.254974;-0.492355
433;0.829697;-0.259048;-0.493896
434;0.828568;-0.256592;-0.491623
435;0.827576;-0.255981;-0.492767
436;0.828033;-0.253098;-0.494186
437;0.827103;-0.254807;-0.495880
438;0.827698;-0.257584;-0.490204
439;0.827271;-0.255676;-0.494446
440;0.827225;-0.257034;-0.494003
441;0.828125;-0.254974;-0.492523
442;0.828735;-0.256393;-0.494186
443;0.828079;-0.255920;-0.493088
444;0.829712;-0.255890;-0.494003
445;0.825226;-0.255707;-0.493500
446;0.827087;-0.259033;-0.494720
447;0.830154;-0.250687;-0.495117
448;0.826859;-0.258621;-0.493881
449;0.823776;-0.258636;-0.490921
450;0.826981;-0.257568;-0.494263
451;0.828873;-0.254333;-0.491302
452;0.827988;-0.255371;-0.496277
453;0.829178;-0.255020;-0.494125
454;0.823807;-0.258163;-0.494476
455;0.831726;-0.259293;-0.492691
456;0.829803;-0.256866;-0.493576
457;0.829163;-0.256775;-0.487152
458;0.828369;-0.257645;-0.493576
459;0.820969;-0.248215;-0.503418
460;0.815689;-0.256821;-0.506989
461;0.822327;-0.256699;-0.498306
462;0.831238;-0.258087;-0.491028
463;0.829498;-0.261002;-0.487762
464;0.832962;-0.257492;-0.488052
465;0.837433;-0.255478;-0.489761
466;0.829056;-0.262451;-0.493225
467;0.819229;-0.258011;-0.510620
468;0.821014;-0.250931;-0.502777
469;0.809967;-0.265137;-0.494370
470;0.820389;-0.264252;-0.496216
471;0.832474;-0.254578;-0.506516
472;0.818268;-0.247009;-0.508606
473;0.820282;-0.254486;-0.498245
474;0.817444;-0.269699;-0.494629
475;0.829086;-0.271637;-0.497086
476;0.823792;-0.256638;-0.503357
477;0.814743;-0.254929;-0.499939
478;0.827942;-0.256027;-0.501373
479;0.820084;-0.255066;-0.501663
480;0.817795;-0.263580;-0.503677
481;0.822922;-0.265091;-0.502716
482;0.822723;-0.262756;-0.498199
483;0.821487;-0.262604;-0.499252
484;0.828674;-0.255127;-0.500015
485;0.817322;-0.261932;-0.501694
486;0.823318;-0.257553;-0.505081
487;0.825256;-0.256805;-0.498398
488;0.822205;-0.265259;-0.497314
489;0.819916;-0.264923;-0.503265
490;0.824570;-0.258835;-0.497086
491;0.822083;-0.259689;-0.503036
492;0.824524;-0.257507;-0.500717
493;0.816513;-0.263031;-0.498138
494;0.827072;-0.258408;-0.506668
495;0.824753;-0.263840;-0.499756
496;0.814667;-0.265808;-0.495056
497;0.818436;-0.263474;-0.503220
498;0.824982;-0.258728;-0.496048
499;0.822357;-0.261353;-0.504822
500;0.821640;-0.258392;-0.498779
501;0.820251;-0.264359;-0.499847
502;0.823608;-0.263687;-0.502274
503;0.817749;-0.265381;-0.499405
504;0.821411;-0.262833;-0.501785
505;0.824295;-0.261169;-0.499664
506;0.815735;-0.264603;-0.502335
507;0.827835;-0.256210;-0.498901
508;0.813354;-0.267197;-0.502792
509;0.825989;-0.259232;-0.498322
510;0.819702;-0.266556;-0.500992
511;0.822418;-0.263489;-0.501602
512;0.821869;-0.262772;-0.500183
513;0.819824;-0.259781;-0.505814
514;0.817307;-0.265839;-0.500748
515;0.830719;-0.264267;-0.506836
